2023-04-30 00:59:09.487 [http-nio-9090-exec-1] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 00:59:09.488 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 00:59:09.500 [http-nio-9090-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 12 ms
2023-04-30 01:12:01.521 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:12:01.529 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:12:01.871 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:12:02.531 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 10304 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 01:12:02.533 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:12:02.683 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:12:05.001 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:12:05.016 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:12:05.017 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:12:05.017 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 01:12:05.158 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 01:12:05.159 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 2475 ms
2023-04-30 01:12:05.481 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 01:12:05.776 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 01:12:05.837 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
2023-04-30 01:12:05.854 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarted:61 - Started MainApp in 4.004 seconds (JVM running for 4.902)
2023-04-30 01:12:10.773 [http-nio-9090-exec-2] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring DispatcherServlet 'dispatcherServlet'
2023-04-30 01:12:10.774 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:525 - Initializing Servlet 'dispatcherServlet'
2023-04-30 01:12:10.786 [http-nio-9090-exec-2] INFO  org.springframework.web.servlet.DispatcherServlet - FrameworkServlet.initServletBean:547 - Completed initialization in 12 ms
2023-04-30 01:14:48.300 [main] INFO  com.portal.MainApp - MainApp.main:38 - contex :: /noteassets
2023-04-30 01:14:48.303 [main] INFO  com.portal.MainApp - MainApp.test:49 - ****************** Test ***************
2023-04-30 01:14:48.581 [main] INFO  org.springframework.boot.devtools.restart.RestartApplicationListener - RestartApplicationListener.onApplicationStartingEvent:77 - Restart disabled due to System property 'spring.devtools.restart.enabled' being set to false
2023-04-30 01:14:49.149 [main] INFO  com.portal.MainApp - StartupInfoLogger.logStarting:55 - Starting MainApp on DESKTOP-EVVDSQV with PID 1384 (D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal\target\classes started by Maddy in D:\Wokspace\OWN_NOTEASSETS\note_assets\client_portal)
2023-04-30 01:14:49.150 [main] INFO  com.portal.MainApp - SpringApplication.logStartupProfileInfo:651 - No active profile set, falling back to default profiles: default
2023-04-30 01:14:49.246 [main] INFO  org.springframework.boot.devtools.env.DevToolsPropertyDefaultsPostProcessor - DeferredLog.logTo:225 - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2023-04-30 01:14:50.964 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.initialize:108 - Tomcat initialized with port(s): 9090 (http)
2023-04-30 01:14:50.978 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Initializing ProtocolHandler ["http-nio-9090"]
2023-04-30 01:14:50.979 [main] INFO  org.apache.catalina.core.StandardService - DirectJDKLog.log:173 - Starting service [Tomcat]
2023-04-30 01:14:50.980 [main] INFO  org.apache.catalina.core.StandardEngine - DirectJDKLog.log:173 - Starting Servlet engine: [Apache Tomcat/9.0.36]
2023-04-30 01:14:51.108 [main] INFO  org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/noteassets] - DirectJDKLog.log:173 - Initializing Spring embedded WebApplicationContext
2023-04-30 01:14:51.109 [main] INFO  org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext - ServletWebServerApplicationContext.prepareWebApplicationContext:285 - Root WebApplicationContext: initialization completed in 1863 ms
2023-04-30 01:14:51.399 [main] INFO  org.springframework.scheduling.concurrent.ThreadPoolTaskExecutor - ExecutorConfigurationSupport.initialize:181 - Initializing ExecutorService 'applicationTaskExecutor'
2023-04-30 01:14:51.666 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - DirectJDKLog.log:173 - Starting ProtocolHandler ["http-nio-9090"]
2023-04-30 01:14:51.706 [main] INFO  org.springframework.boot.web.embedded.tomcat.TomcatWebServer - TomcatWebServer.start:220 - Tomcat started on port(s): 9090 (http) with context path '/noteassets'
